Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,אזרחות,2,204,73.68,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אלקטרוניקה ומחשבים,5,55,84.64,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אלקטרוניקה ומחשבים,5,43,87.12,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,אלקטרוניקה ומחשבים,5,55,78.25,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אנגלית,3,37,67.14,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אנגלית,4,79,72.13,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אנגלית,5,76,81.86,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אנגלית,3,23,73.39,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אנגלית,4,74,70.91,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אנגלית,5,74,82.15,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,אנגלית,3,43,70.79,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,אנגלית,4,82,71.74,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,אנגלית,5,79,83,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,ביולוגיה,5,19,81.42,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,ביולוגיה,5,14,80.14,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,ביולוגיה,5,17,81.12,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,הסטוריה - בי'ס דרוזי,2,192,80.46,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,הסטוריה - בי'ס דרוזי,2,172,84.56,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,הסטוריה - בי'ס דרוזי,2,204,85.66,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,חשבונאות,5,29,75.21,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,חשבונאות,5,26,79.08,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,חשבונאות,5,25,73.2,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,ישומים בביוטכנולוגיה,5,29,76.14,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,ישומים בביוטכנולוגיה,5,28,78.04,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,ישומים בביוטכנולוגיה,5,35,73.17,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,כימיה,5,15,71.2,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,כימיה,5,14,78.5,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,כימיה,5,14,76,248179
