Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,אלקטרוניקה ומחשבים,5,23,89.96,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,אלקטרוניקה ומחשבים,5,23,84.87,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,אלקטרוניקה ומחשבים,5,25,82.84,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,אנגלית,4,20,82.55,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,אנגלית,5,17,95.29,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,אנגלית,3,11,71.09,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,אנגלית,5,25,92.44,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,אנגלית,5,24,88.79,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,ביולוגיה,5,23,74.52,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,ביולוגיה,5,16,74.81,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,ביולוגיה,5,14,73.5,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,הסטוריה - בי'ס ערבי,2,45,88.53,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,הסטוריה - בי'ס ערבי,2,45,87.2,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,הסטוריה - בי'ס ערבי,2,43,88.21,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,מדעי לימודי הסביבה,5,20,79.3,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,מדעי לימודי הסביבה,5,21,69.67,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,מדעי לימודי הסביבה,5,18,69.22,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,מערכות אלקטרוניות,3,12,90,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,מערכות אלקטרוניות,5,11,90.36,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,מערכות אלקטרוניות,3,11,90.09,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,מערכות אלקטרוניות,5,13,97.38,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,מערכות אלקטרוניות,3,13,91,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,מערכות אלקטרוניות,5,12,95.5,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,מתמטיקה,3,21,82.48,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,מתמטיקה,4,14,86.71,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,מתמטיקה,3,21,70.05,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,מתמטיקה,4,11,88.36,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,מתמטיקה,5,12,86.92,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,מתמטיקה,3,18,82.33,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,מתמטיקה,4,17,77.53,247098
